,Textbox6,CardCode,CardName,Branch,Account,Currency,FCOpeningBalance,OpeningBalance,FCOpeningBalance1,OpeningBalance1,FCDebit,Debit,FCCredit1,Credit,FCOpeningBalance4,OpeningBalance4,FCOpeningBalance5,OpeningBalance5,OpeningBalance2,OpeningBalance3,Debit1,Textbox56,OpeningBalance6,Textbox64
0,1,VDP10001,CTY TNHH MTV DUOC SAI GON,All,33110100,VND,,,,"167,133,792.0000",,,,"1,163,213,308.0000",,,-,"1,330,347,100.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
1,2,VDP10003,(VIMEDIMEX) CTY CP Y DUOC PHAM VIMEDIMEX,All,33110100,VND,,,,"30,009,112.8000",,,,,,,-,"30,009,112.8000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
2,3,VDP10009,CTY TNHH MOT THANH VIEN VIMEDIMEX BINH DUONG,All,33110100,VND,,,,"9,544,338,050.0000",,"10,048,096,373.0000",,"5,153,730,452.0000",,,-,"4,649,972,129.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
3,4,VDP10011,CONG TY CO PHAN DUOC PHAM OTSUKA VIET NAM,All,33110100,VND,,,,"511,056,024.0000",,"511,056,024.0000",,"170,352,008.0000",,,-,"170,352,008.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
4,5,VDP10012,CTY CO PHAN DUOC PHAM HIEP BACH NIEN,All,33110100,VND,,,,"574,762,488.0000",,,,"9,974,998.0000",,,-,"584,737,486.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
5,6,VDP10013,CTY CO PHAN DUOC - THIET BI Y TE DA NANG,All,33110100,VND,,,,"96,393,520.0000",,"140,153,526.0000",,"395,263,030.0000",,,-,"351,503,024.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
6,7,VDP10015,CTY TNHH Y TE CANH CUA VIET,All,33110100,VND,,,,"21,124,254.0000",,"21,124,254.0000",,"2,517,500.0000",,,-,"2,517,500.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
7,8,VDP10022,CTY TNHH ROHTO MENTHOLATUM VIET NAM,All,33110100,VND,,,,"9,578,130,437.0000",,"16,481,451,514.0000",,"23,334,860,054.0000",,,-,"16,431,538,977.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
8,9,VDP10027,CTY TNHH DICH VU - THUONG MAI THANH NGOC,All,33110100,VND,,,,"250,013,876.0000",,"250,013,876.0000",,"110,185,350.0000",,,-,"110,185,350.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
9,10,VDP10036,CONG TY CO PHAN TA DA PHARMA,All,33110100,VND,,,,"186,914,673.0000",,,,,,,-,"186,914,673.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
10,11,VDP10037,CHI NHANH CONG TY TNHH MOT THANH VIEN VIMEDIMEX BINH DUONG TAI HA NOI,All,33110100,VND,,,,"344,411,273.0000",,"668,741,318.0000",,"2,566,944,637.0000",,,-,"2,242,614,592.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
11,12,VDP10042,CONG TY TNHH DKSH VIET NAM,All,33110100,VND,,,,,,"1,513,084.0000",,"10,256,181.0000",,,-,"8,743,097.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
12,13,VDP10043,CONG TY TNHH DUOC PHAM HUNG PHAT,All,33110100,VND,,,,"771,385,724.0000",,"134,605,891.0000",,"64,984,048.0000",,,-,"701,763,881.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
13,14,VDP10044,CONG TY TNHH TRUONG SON,All,33110100,VND,,,,"724,411,791.0000",,"36,840,000.0000",,"42,728,150.0000",,,-,"730,299,941.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
14,15,VDP10045,CONG TY TNHH LYNH FARMA,All,33110100,VND,,,,"1,631,540.0000",,,,,,,-,"1,631,540.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
15,16,VDP10054,(HD)CONG TY TNHH VIPAMED VIET NAM,All,33110100,VND,,,,"847,316,417.0000",,,,,,,-,"847,316,417.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
16,17,VDP10058,CONG TY CO PHAN DUOC PHAM PHUC NGUYEN,All,33110100,VND,,,,"2,468,813.0000",,,,,,,-,"2,468,813.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
17,18,VDP10063,CONG TY CO PHAN DUOC PHAM GOLDENLIFE,All,33110100,VND,,,,"2,806,533,593.0000",,"629,375,985.0000",,,,,-,"2,177,157,608.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
18,19,VDP10064,CONG TY TNHH P&T,All,33110100,VND,,,,"478,598,746.0000",,"37,975,000.0000",,"23,275,001.0000",,,-,"463,898,747.0000",-,"468,620,547,800.2521","148,461,912,303.1409","160,551,587,603.1500",-,"480,710,223,100.2612"
